Date,Close,Volume,Volatility,Marketcap,Compound Sentiment Score
2016-06-29,639.8900146484375,142456000.0,2.6099678398803943,10055423427.0,0.3506
2016-06-30,673.3369750976562,138980000.0,6.094024219129382,10583527799.4,0.2983
2016-07-01,676.2960205078125,134431008.0,2.473140097358146,10632674989.8,0.42755
2016-07-02,703.7020263671875,112354000.0,4.036528747520443,11066171356.3,0.7843
2016-07-03,658.6640014648438,129512000.0,8.62222986274427,10360455388.0,0.76455
2016-07-04,683.6619873046875,92008400.0,5.096630928934277,10756225161.5,0.4019
2016-07-05,670.6270141601562,130476000.0,2.7704091638728645,10553590036.3,0.3382333333333333
2016-07-06,677.3309936523438,134960992.0,1.7123615354480999,10661460872.4,0.2066333333333333
2016-07-07,640.56201171875,258091008.0,11.538754672651065,10084880015.6,0.46894
2016-07-08,666.5230102539062,141970000.0,4.751226879877253,10496037616.4,0.911025
2016-07-09,650.9600219726562,180536000.0,5.207615742701425,10252979329.9,0.5895
2016-07-10,649.3599853515625,102532000.0,1.720045050339938,10229001841.0,0.7921400000000001
2016-07-11,647.6589965820312,107910000.0,2.271240704388384,10203318330.2,0.3182
2016-07-12,664.551025390625,138172992.0,4.403355834722979,10470577835.3,0.22926
2016-07-13,654.468017578125,131449000.0,2.1745897808073336,10312716681.1,
2016-07-14,658.0780029296875,98511400.0,1.5283585214849464,10370714377.5,-0.315875
2016-07-15,663.2550048828125,81673104.0,1.219508468044755,10453381649.6,
2016-07-16,660.7670288085938,50330200.0,1.0807933106028516,10415413843.4,
2016-07-17,679.458984375,74407904.0,3.077375419886221,10711263459.6,
2016-07-18,673.1060180664062,69465000.0,1.9338183100813235,10612299585.4,0.4874333333333333
2016-07-19,672.864013671875,61203300.0,0.8455194381158703,10609525767.2,0.6269
2016-07-20,665.6849975585938,94636400.0,1.4425094930390514,10497527595.7,-0.0305499999999999
2016-07-21,665.0120239257812,60491800.0,0.8788438037274409,10487976073.3,0.2030999999999999
2016-07-22,650.6190185546875,134169000.0,3.071029501713541,10261989674.1,
2016-07-23,655.5560302734375,69532200.0,1.2092137183886524,10340881944.1,0.4767
2016-07-24,661.2849731445312,118184000.0,1.5804328624344703,10432244355.1,
2016-07-25,654.0969848632812,78176496.0,1.2906409057858108,10319876748.9,0.3628
2016-07-26,651.7839965820312,225135008.0,1.601839789183263,10284392843.4,0.9262
2016-07-27,654.3519897460938,147460992.0,1.3893150665332852,10325917978.9,0.13855
2016-07-28,655.0349731445312,86428400.0,0.47410301237588004,10337749269.3,0.8809800000000001
2016-07-29,656.9920043945312,60703500.0,0.45969365811789586,10369809305.9,
2016-07-30,655.0469970703125,38456100.0,0.6135712259855801,10340045284.2,0.9217
2016-07-31,624.6810302734375,110818000.0,4.9522288074719665,9861866432.96,0.6486
2016-08-01,606.27197265625,121887000.0,3.3397560120816343,9572348580.1,0.5016666666666666
